device_id,gender_id
B-52-4522,2
B-52-13604,1
B-52-16340,2
B-52-13357,1
B-52-49666,1
B-52-34732,1
B-52-19798,2
B-52-20159,2
B-52-44688,2
B-52-15827,2
B-52-9994,2
B-52-8854,1
B-52-27702,1
B-52-3021,2
B-52-23902,1
B-52-23218,2
B-52-47082,1
B-52-33801,2
B-52-16929,2
B-52-51509,2
B-52-33288,2
B-52-22838,1
B-52-27759,2
B-52-27607,1
B-52-14820,
B-52-17822,2
B-52-4598,1
B-52-17803,1
B-52-42066,2
B-52-14915,2
B-52-15010,1
B-52-47424,2
B-52-1216,
B-52-13775,2
B-52-42674,2
B-52-39197,1
B-52-6973,1
B-52-19038,2
B-52-24814,2
B-52-18373,
B-52-35910,1
B-52-33915,1
B-52-43966,2
B-52-6536,2
B-52-41173,2
B-52-38760,2
B-52-11590,2
B-52-2033,1
B-52-6878,1
B-52-51604,2
B-52-8987,2
B-52-33991,
B-52-6726,1
B-52-5301,2
B-52-16834,1
B-52-34770,1
B-52-52649,2
B-52-49267,2
B-52-1026,1
B-52-28215,2
B-52-6061,1
B-52-22154,2
B-52-23427,2
B-52-26714,2
B-52-51186,2
B-52-8018,2
B-52-30628,2
B-52-40318,1
B-52-7106,2
B-52-12901,2
B-52-10640,2
B-52-43681,
B-52-24377,2
B-52-47443,1
B-52-27151,1
B-52-5035,2
B-52-38171,1
B-52-9937,2
B-52-28937,2
B-52-23313,1
B-52-34580,2
B-52-1102,
B-52-14269,1
B-52-22724,2
B-52-18449,2
B-52-19912,2
B-52-44308,2
B-52-35986,1
B-52-8930,1
B-52-18962,2
B-52-48374,2
B-52-17841,1
B-52-37886,2
B-52-51642,2
B-52-9272,2
B-52-18905,2
B-52-27113,2
B-52-9747,1
B-52-40470,2
B-52-41097,2
B-52-9120,2
B-52-513,2
B-52-24833,1
B-52-21014,2
B-52-24035,1
B-52-37715,2
B-52-15238,2
B-52-48868,2
B-52-16606,1
B-52-44536,2
B-52-21831,2
B-52-4465,2
B-52-12863,1
B-52-39691,1
B-52-35074,2
B-52-42997,2
B-52-51243,1
B-52-20501,2
B-52-22933,2
B-52-49856,1
B-52-36784,1
B-52-28975,2
B-52-7657,1
B-52-35359,2
B-52-47519,2
B-52-38513,2
B-52-45068,1
B-52-40945,1
B-52-42294,1
B-52-9329,2
B-52-36138,1
B-52-47101,2
B-52-50331,2
B-52-45657,1
B-52-29545,1
B-52-16891,2
